Tim, Potroseni pari, Zaraboteni pari, Razlika 
Manchester United,1283120000,3239630000,1956510000
Chelsea FC,4315956000,5685050000,1369094000
Arsenal FC,1527140000,2637400000,1110260000
Manchester City,1679936000,3794904999,2114968999
Liverpool FC,1716520000,2931483000,1214963000
Valencia CF,1454300000,1710370000,256070000
Atlético de Madrid,2466125000,3227620000,761495000
Real Madrid,2628350000,3454050000,825700000
FC Barcelona,2222200000,3275670000,1053470000
Athletic Bilbao,499500000,568300000,68800000
AC Milan,1684730000,2171460000,486730000
Juventus FC,3211723000,2869689000,-342034000
SS Lazio,613145000,869886000,256741000
AS Roma,2808640000,3276794000,468154000
Inter Milan,2328850000,2156891000,-171959000
Bayern Munich,1082750000,2284750000,1202000000
Borussia Dortmund,1968740000,2352240000,383500000
FC Schalke 04,752100000,774950000,22850000
Borussia Mönchengladbach,646360000,904725000,258365000
RB Leipzig,864490000,1341075000,476585000
Olympique Lyon,1397970000,1428300000,30330000
LOSC Lille,1477965000,1398500000,-79465000
Paris Saint-Germain,1718600000,3627500000,1908900000
Olympique Marseille,841965000,1158920000,316955000
AS Monaco,2650400000,2876960000,226560000
